config_label,config,round,val_roc_auc,mean_ks,mean_tvd,loss_improvement_pct,converged,seconds
library defaults,{},screen,0.569152317719033,0.07376000000000002,0.10008500000000001,-11.490585855579523,True,145.8554983139038
embedding_dim=256,"{""embedding_dim"": 256}",screen,0.5705777199944335,0.09185999999999997,0.11260499999999998,-14.553022900547456,True,139.53859758377075
wide networks 512,"{""generator_dim"": [512, 512], ""discriminator_dim"": [512, 512]}",screen,0.5723774289680204,0.12556,0.12261999999999999,-1.2635461803945534,True,139.17656207084656
narrow networks 128,"{""generator_dim"": [128, 128], ""discriminator_dim"": [128, 128]}",screen,0.5454102763091,0.08645999999999998,0.09367999999999999,-6.755562734411333,True,137.04382991790771
pac=1,"{""pac"": 1, ""batch_size"": 500}",screen,0.5948281594261612,0.07726,0.07268999999999998,3.678754018518662,False,135.03079199790955
pac=5,"{""pac"": 5, ""batch_size"": 500}",screen,0.5360762658537306,0.09084000000000003,0.083845,-3.3718361878963177,True,134.43693494796753
pac=20,"{""pac"": 20, ""batch_size"": 500}",screen,0.531552000662495,0.10164000000000001,0.174655,-6.194821019305533,True,134.81731605529785
discriminator_steps=2,"{""discriminator_steps"": 2}",screen,0.5760533956628335,0.05024000000000001,0.09128499999999998,45.35844681729893,False,221.9180896282196
lr 1e-4 both,"{""generator_lr"": 0.0001, ""discriminator_lr"": 0.0001}",screen,0.5626031219562508,0.06301999999999999,0.08156,-1.3613775752266506,True,134.60319995880127
lr 5e-4 both,"{""generator_lr"": 0.0005, ""discriminator_lr"": 0.0005}",screen,0.5554680968848973,0.0808,0.149,2.1861771355050403,False,138.34579300880432
batch_size=1000,"{""batch_size"": 1000}",screen,0.5657638530847545,0.07506000000000002,0.09101000000000001,0.505242878094075,True,86.58099246025085
wide + pac=20,"{""generator_dim"": [512, 512], ""discriminator_dim"": [512, 512], ""pac"": 20, ""batch_size"": 500}",screen,0.5303224503799177,0.22524000000000005,0.15854999999999997,-5.446394028342618,True,135.87907457351685
