config_label,config,round,val_roc_auc,mean_ks,mean_tvd,loss_improvement_pct,converged,seconds,seed
pac=1,"{""pac"": 1, ""batch_size"": 500}",screen,0.5948281594261612,0.07726,0.07268999999999998,3.678754018518662,False,135.03079199790955,
discriminator_steps=2,"{""discriminator_steps"": 2}",screen,0.5760533956628335,0.05024000000000001,0.09128499999999998,45.35844681729893,False,221.9180896282196,
wide networks 512,"{""generator_dim"": [512, 512], ""discriminator_dim"": [512, 512]}",screen,0.5723774289680204,0.12556,0.12261999999999999,-1.2635461803945534,True,139.17656207084656,
embedding_dim=256,"{""embedding_dim"": 256}",screen,0.5705777199944335,0.09185999999999997,0.11260499999999998,-14.553022900547456,True,139.53859758377075,
library defaults,{},screen,0.569152317719033,0.07376000000000002,0.10008500000000001,-11.490585855579523,True,145.8554983139038,
batch_size=1000,"{""batch_size"": 1000}",screen,0.5657638530847545,0.07506000000000002,0.09101000000000001,0.505242878094075,True,86.58099246025085,
lr 1e-4 both,"{""generator_lr"": 0.0001, ""discriminator_lr"": 0.0001}",screen,0.5626031219562508,0.06301999999999999,0.08156,-1.3613775752266506,True,134.60319995880127,
lr 5e-4 both,"{""generator_lr"": 0.0005, ""discriminator_lr"": 0.0005}",screen,0.5554680968848973,0.0808,0.149,2.1861771355050403,False,138.34579300880432,
narrow networks 128,"{""generator_dim"": [128, 128], ""discriminator_dim"": [128, 128]}",screen,0.5454102763091,0.08645999999999998,0.09367999999999999,-6.755562734411333,True,137.04382991790771,
pac=5,"{""pac"": 5, ""batch_size"": 500}",screen,0.5360762658537306,0.09084000000000003,0.083845,-3.3718361878963177,True,134.43693494796753,
pac=20,"{""pac"": 20, ""batch_size"": 500}",screen,0.531552000662495,0.10164000000000001,0.174655,-6.194821019305533,True,134.81731605529785,
wide + pac=20,"{""generator_dim"": [512, 512], ""discriminator_dim"": [512, 512], ""pac"": 20, ""batch_size"": 500}",screen,0.5303224503799177,0.22524000000000005,0.15854999999999997,-5.446394028342618,True,135.87907457351685,
pac=1,"{""pac"": 1, ""batch_size"": 500}",promote,0.5944784682296353,0.09400000000000003,0.074075,-210.72680127073858,True,1601.6080858707428,0.0
pac=1,"{""pac"": 1, ""batch_size"": 500}",promote,0.5837558387741622,0.05375499999999997,0.07432250000000001,-119.29399257390384,True,1587.376212835312,1.0
pac=1,"{""pac"": 1, ""batch_size"": 500}",promote,0.5850429828438771,0.09774000000000002,0.0766125,-186.4572186344675,True,1583.1472446918488,2.0
discriminator_steps=2,"{""discriminator_steps"": 2}",promote,0.5673285232793797,0.048034999999999994,0.06870125000000002,-10.486091220918334,True,2618.60533118248,0.0
discriminator_steps=2,"{""discriminator_steps"": 2}",promote,0.5648783163871551,0.04383500000000001,0.06970625000000001,4.3588628385335415,False,2614.2540798187256,1.0
discriminator_steps=2,"{""discriminator_steps"": 2}",promote,0.5721600170732573,0.05221500000000007,0.07176375,-0.6314116821595981,True,2639.507381916046,2.0
embedding_dim=256,"{""embedding_dim"": 256}",promote,0.5827318398797225,0.04480000000000002,0.08606375,2.7735524500232906,False,1593.7322099208832,0.0
embedding_dim=256,"{""embedding_dim"": 256}",promote,0.5532310855012289,0.06164,0.09672,-20.65157625793031,True,1597.4303231239319,1.0
embedding_dim=256,"{""embedding_dim"": 256}",promote,0.573579339729437,0.04628,0.08630125,-18.624692482396593,True,1590.7659437656403,2.0
